item,score,total_occ,preferred_occ
adequate stay,0.8,10,8
impressive reasoning,0.8,10,8
latter consumer,0.125,8,1
intense residue,0.6666666666666666,9,6
active skeleton,0.2,10,2
Conservative cargo,0.6,10,6
sure solo,0.1,10,1
estimated bite,0.4,10,4
keen portal,0.3333333333333333,9,3
fascinating acid,0.8888888888888888,9,8
famous nail,0.625,8,5
deep bachelor,0.1111111111111111,9,1
live flat,0.3,10,3
human railroad,0.4,10,4
ethnic joint,0.4444444444444444,9,4
electoral guy,0.6666666666666666,9,6
stable demise,0.4444444444444444,9,4
steep hip,0.3,10,3
tall input,0.3,10,3
intellectual queue,0.5555555555555556,9,5
tight productivity,0.625,8,5
happy gameplay,0.5,10,5
superior contractor,1.0,10,10
criminal caller,0.7,10,7
specified vacation,0.9,10,9
residential doctrine,0.7777777777777778,9,7
legislative inhibitor,0.6666666666666666,9,6
interested heart,0.4,10,4
guilty shadow,0.4444444444444444,9,4
easy trainer,0.6666666666666666,9,6
complete prisoner,0.5555555555555556,9,5
medical temperature,0.8,10,8
concrete ceremony,0.625,8,5
net alcohol,0.2857142857142857,7,2
automatic muscle,0.6,10,6
tough artwork,0.5555555555555556,9,5
left English,0.125,8,1
on-line surface,0.3,10,3
rear reality,0.0,8,0
unlikely motto,0.8,10,8
overseas extreme,0.6,10,6
fundamental basket,0.1111111111111111,9,1
secondary shade,0.5555555555555556,9,5
wise harm,0.2,10,2
educational hire,0.375,8,3
green sink,0.7777777777777778,9,7
North tension,0.3,10,3
exact clearance,0.6666666666666666,9,6
eligible ballet,0.6,10,6
audio archbishop,0.0,9,0
established commune,0.625,8,5
identical palm,0.5,10,5
extraordinary helicopter,0.7,10,7
pleasant disturbance,0.7777777777777778,9,7
junior culture,0.625,8,5
welcome nitrogen,0.0,9,0
fascinating representative,0.6666666666666666,9,6
odd civilian,0.8,10,8
dramatic pirate,0.8,10,8
concrete draw,0.1,10,1
intense fence,0.2222222222222222,9,2
voluntary policeman,1.0,9,9
peaceful refurbishment,0.6666666666666666,9,6
white expenditure,0.1111111111111111,9,1
Greek publicity,0.7777777777777778,9,7
agricultural cast,0.4444444444444444,9,4
east campaigning,0.2222222222222222,9,2
psychological pro,0.6,10,6
direct sauce,0.25,8,2
confident scroll,0.2,10,2
funny reconciliation,0.7,10,7
skilled seating,0.2,10,2
Greek encouragement,0.7777777777777778,9,7
relative handset,0.0,10,0
ethnic assassination,0.8571428571428571,7,6
legislative limestone,0.0,10,0
plain cruiser,0.75,8,6
diverse acclaim,0.6666666666666666,9,6
competitive seizure,0.1,10,1
mature alarm,0.0,10,0
urban asbestos,0.6,10,6
charitable wilderness,0.1111111111111111,9,1
Latin scandal,0.7777777777777778,9,7
sad bulk,0.1,10,1
brown repayment,0.0,9,0
lead fashion,0.7,10,7
dead electorate,0.2222222222222222,9,2
false stock,0.8333333333333334,6,5
functional privatisation,0.4,10,4
dependent faculty,0.5555555555555556,9,5
wealthy detention,0.3333333333333333,9,3
guilty progression,0.6,10,6
eligible mate,1.0,9,9
right turnover,0.2,10,2
immediate dioxide,0.4,10,4
effective wake,0.5555555555555556,9,5
deep actor,0.7,10,7
yellow habit,0.2,10,2
Asian liquid,0.4444444444444444,9,4
underground skiing,0.5,10,5
applicable news,1.0,8,8
ethnic canal,0.2,10,2
ultimate lifetime,0.4444444444444444,9,4
psychological motor,0.4444444444444444,9,4
able scenario,0.5,10,5
strict chocolate,0.3,10,3
operational inequality,0.7777777777777778,9,7
chronic leather,0.0,8,0
pleasant coin,0.14285714285714285,7,1
remote inventor,0.6666666666666666,9,6
pregnant horizon,0.2222222222222222,9,2
valid media,0.4,10,4
affordable sword,1.0,10,10
full-time fence,0.2,10,2
liberal ambition,0.8,10,8
variable pine,0.3,10,3
male plateau,0.3,10,3
agricultural tram,0.25,8,2
funny garment,0.8,10,8
blue rhetoric,0.4444444444444444,9,4
technological cereal,0.2222222222222222,9,2
rare mankind,0.3,10,3
southern draft,0.5555555555555556,9,5
plastic affiliate,0.14285714285714285,7,1
racial heel,0.4444444444444444,9,4
vertical pie,0.3,10,3
fascinating washing,0.3,10,3
black synthesis,0.125,8,1
ill briefing,0.7777777777777778,9,7
Victorian sand,0.625,8,5
integrated crown,0.4,10,4
specific certainty,0.6,10,6
specified flood,0.4,10,4
diverse bolt,0.2222222222222222,9,2
structural scroll,0.6,10,6
bright landowner,0.8,10,8
terrorist physics,0.4,10,4
general chicken,0.4444444444444444,9,4
Christian waste,0.5,10,5
subject decision-making,0.6,10,6
crucial walk,0.7777777777777778,9,7
agricultural transit,0.4,10,4
corporate freelance,0.7,10,7
fellow cutting,0.2222222222222222,9,2
double pop,0.7777777777777778,9,7
experienced treat,0.09090909090909091,11,1
registered employability,0.8888888888888888,9,8
secure recruit,0.7,10,7
monthly hamlet,0.25,8,2
integrated lorry,0.4,10,4
audio validity,0.7,10,7
slow manager,0.8888888888888888,9,8
golden void,0.1,10,1
bright inequality,0.1111111111111111,9,1
architectural absorption,0.3333333333333333,9,3
clinical cupboard,0.1111111111111111,9,1
welcome correlation,0.6666666666666666,9,6
written rest,0.4,10,4
nuclear digit,0.1111111111111111,9,1
legislative certificate,0.5555555555555556,9,5
outdoor highway,0.5555555555555556,9,5
geographical astronomy,0.625,8,5
central fishing,0.5,10,5
valuable white,0.2222222222222222,9,2
Jewish inequality,1.0,10,10
careful market,0.7777777777777778,9,7
financial beam,0.125,8,1
exciting declaration,1.0,9,9
Western asbestos,0.3,10,3
so-called commentator,1.0,8,8
geographical banana,0.2,10,2
fascinating adoption,0.4,10,4
valid spending,0.8888888888888888,9,8
Western casting,0.5555555555555556,9,5
stunning physician,0.7,10,7
intellectual terror,0.75,8,6
theoretical DIY,0.3,10,3
fellow landing,0.5555555555555556,9,5
capable accounting,0.7777777777777778,9,7
stunning scrutiny,0.5555555555555556,9,5
sole cow,0.3,10,3
Catholic exploration,0.625,8,5
honest mention,0.8888888888888888,9,8
warm pole,0.5555555555555556,9,5
Victorian thrust,0.3333333333333333,9,3
fixed conquest,0.6666666666666666,9,6
rear effectiveness,0.5,10,5
evil reliability,0.25,8,2
unknown sky,0.125,8,1
major doctorate,0.3,10,3
armed failure,0.6,10,6
narrow will,0.4444444444444444,9,4
fair encouragement,0.7,10,7
sexual street,0.4444444444444444,9,4
potential rowing,0.3,10,3
assistant distinction,0.4444444444444444,9,4
visible pad,1.0,8,8
mathematical therapist,0.5555555555555556,9,5
cool glucose,0.0,9,0
Muslim essay,0.5,10,5
biological congregation,0.4444444444444444,9,4
frequent astronomy,0.3,10,3
dependent lecturer,0.8,10,8
honest predator,0.5555555555555556,9,5
social belt,0.2222222222222222,9,2
Muslim dollar,0.1111111111111111,9,1
obvious ranking,0.7777777777777778,9,7
empty regulation,0.625,8,5
Democratic quantity,0.3333333333333333,9,3
educational emotion,0.375,8,3
proud boot,0.1,10,1
domestic patience,0.8,10,8
Latin affiliate,0.9,10,9
literary tiger,0.4,10,4
strategic sensation,0.42857142857142855,7,3
consecutive dome,0.3,10,3
experimental fellowship,0.8,10,8
intelligent excellence,0.8888888888888888,9,8
apparent pepper,0.3,10,3
funny nightclub,0.8888888888888888,9,8
armed prospect,0.3,10,3
Islamic disposal,0.3333333333333333,9,3
magnificent ingredient,0.8888888888888888,9,8
experienced theorem,0.5,10,5
initial merchant,0.6,10,6
heavy Buddhism,0.5,10,5
dry millennium,0.5555555555555556,9,5
flexible beneficiary,0.6,10,6
conservative translator,0.6666666666666666,9,6
willing amendment,0.6,10,6
low playoff,0.2222222222222222,9,2
solar convoy,0.7777777777777778,9,7
middle gravel,0.1,10,1
remarkable tributary,0.7,10,7
busy glucose,0.1,10,1
electoral wall,0.4444444444444444,9,4
agricultural gaming,0.3,10,3
tough lottery,0.4,10,4
equivalent pile,0.6,10,6
constant bedroom,0.1111111111111111,9,1
coastal cartoon,0.5,10,5
social dive,0.7,10,7
radical bolt,0.0,9,0
wealthy rule,0.8,10,8
electric gesture,0.375,8,3
secure drink,0.1111111111111111,9,1
past lid,0.2,10,2
progressive trench,0.2222222222222222,9,2
tropical joy,0.4444444444444444,9,4
keen globalisation,0.7142857142857143,7,5
electrical critique,0.0,10,0
keen implication,0.7,10,7
female despair,0.5714285714285714,7,4
vocal government,0.9,10,9
efficient assertion,0.7,10,7
moral gas,0.1111111111111111,9,1
Welsh platinum,0.3333333333333333,9,3
planned bearing,0.6,10,6
Welsh seeker,0.8,10,8
comprehensive conjunction,0.625,8,5
Welsh afternoon,0.1111111111111111,9,1
ongoing cotton,0.3,10,3
right pioneer,0.7,10,7
net skull,0.3,10,3
relative classroom,0.5,10,5
Japanese autonomy,0.5,10,5
considerable garlic,0.6666666666666666,9,6
armed cholesterol,0.0,8,0
reasonable tomato,0.1111111111111111,9,1
cultural laser,0.25,8,2
Australian onset,0.375,8,3
vertical avenue,0.375,8,3
inner snake,0.5555555555555556,9,5
random ceremony,0.8,10,8
comfortable lottery,0.4444444444444444,9,4
patient lineup,0.6666666666666666,9,6
distinct Christian,0.375,8,3
blind broker,0.9,10,9
conventional mortality,0.5,10,5
distant blanket,0.3333333333333333,9,3
systematic rail,0.25,8,2
wise playoff,0.6,10,6
defensive finish,0.7777777777777778,9,7
selected brake,0.7,10,7
Canadian text-decoration,0.3,10,3
confident medal,0.4444444444444444,9,4
extreme anniversary,0.2222222222222222,9,2
continuous bureaucracy,0.7777777777777778,9,7
familiar bombing,0.4444444444444444,9,4
double celebrity,0.4444444444444444,9,4
assistant projection,0.3333333333333333,9,3
widespread spouse,0.1111111111111111,9,1
comic log,0.4,10,4
prior jet,0.5555555555555556,9,5
social rifle,0.2,10,2
affordable peasant,0.3,10,3
fixed declaration,0.7777777777777778,9,7
organic dance,0.375,8,3
sick equivalent,0.4444444444444444,9,4
junior pulse,0.1111111111111111,9,1
eligible interval,0.5,10,5
external civilian,0.4444444444444444,9,4
continued drummer,0.1111111111111111,9,1
great mainland,0.6666666666666666,9,6
primary autobiography,0.8888888888888888,9,8
Russian euro,0.3,10,3
obvious limestone,0.2,10,2
comic diagram,0.875,8,7
Victorian mud,0.2222222222222222,9,2
immediate holiday,1.0,7,7
dry anniversary,0.4,10,4
architectural gravity,0.3,10,3
financial poem,0.2222222222222222,9,2
visible royalty,0.7,10,7
dark encryption,0.8,10,8
secret insert,0.6666666666666666,9,6
weak fare,0.7777777777777778,9,7
primary broadcasting,0.8888888888888888,9,8
mixed reunion,0.75,8,6
valid inhabitant,0.6,10,6
criminal dancer,0.3,10,3
bold prosecutor,1.0,8,8
essential coup,0.7,10,7
legislative hub,0.6666666666666666,9,6
alternative loss,0.4,10,4
necessary subsection,0.7777777777777778,9,7
nervous miracle,0.3333333333333333,9,3
median bombing,0.5,10,5
planned stripe,0.6666666666666666,9,6
continuous competitor,0.6,10,6
disabled chain,0.9,10,9
wooden killing,0.0,10,0
Chinese accessibility,0.8,10,8
dual click,0.9,10,9
exact mosque,0.2,10,2
whole warrior,0.3,10,3
statistical accordance,0.4,10,4
immediate passport,0.4444444444444444,9,4
improved motif,0.75,8,6
secret publicity,0.4,10,4
solar widow,0.42857142857142855,7,3
apparent tenancy,0.25,8,2
daily nightclub,0.4444444444444444,9,4
sustainable English,0.5,10,5
wild logistic,0.7777777777777778,9,7
fundamental telephone,0.4,10,4
preferred cheek,0.625,8,5
limited galaxy,0.7142857142857143,7,5
practical motorway,0.6,10,6
provincial pensioner,0.7,10,7
outer stakeholder,0.3333333333333333,9,3
Catholic offspring,1.0,9,9
royal consultation,0.9,10,9
naval suicide,0.7777777777777778,9,7
armed ion,0.0,8,0
willing strike,0.7,10,7
eligible rally,0.4444444444444444,9,4
ill realm,0.3,10,3
biological bargain,0.1111111111111111,9,1
fresh civilian,0.4,10,4
brief sand,0.1,10,1
variable mound,0.14285714285714285,7,1
remaining pest,0.75,8,6
rough passenger,0.7777777777777778,9,7
gay van,0.2222222222222222,9,2
magnetic hunt,0.5,10,5
Iraqi perfection,0.75,8,6
accessible coefficient,0.5,10,5
clean motivation,0.5,10,5
democratic mound,0.1111111111111111,9,1
monthly triumph,0.9,10,9
electoral offensive,0.25,8,2
Turkish lap,0.3,10,3
physical bubble,0.5714285714285714,7,4
vertical cooking,0.3,10,3
existing spin,0.6,10,6
audio comrade,0.5,8,4
yellow observer,0.1,10,1
ethnic messenger,0.7777777777777778,9,7
slight sum,0.3,10,3
varied publisher,0.7,10,7
flat acre,0.7777777777777778,9,7
married magazine,0.2222222222222222,9,2
frequent hostel,0.3333333333333333,9,3
favourite storage,0.7,10,7
constant therapist,0.7777777777777778,9,7
plain degree,0.8888888888888888,9,8
organic conscience,0.375,8,3
flat hamlet,0.4444444444444444,9,4
lucky plane,0.5555555555555556,9,5
prime paperback,0.4444444444444444,9,4
corresponding urine,0.125,8,1
South bell,0.4444444444444444,9,4
valid bride,0.625,8,5
stable tile,0.8,10,8
detailed density,0.7,10,7
married frame,0.125,8,1
distant expense,0.75,8,6
net founding,0.2,10,2
vital excursion,0.5,8,4
dedicated firing,0.6,10,6
open nephew,0.2222222222222222,9,2
statistical debut,0.5,10,5
twin surgeon,0.5714285714285714,7,4
wild nationalist,0.6666666666666666,9,6
creative calcium,0.3,10,3
lead archive,0.3,10,3
archaeological ankle,0.2,10,2
minor bachelor,0.3,10,3
dangerous altitude,0.8,10,8
clinical marathon,0.2,10,2
mutual kernel,0.09090909090909091,11,1
estimated crest,0.7272727272727273,11,8
bold coating,0.75,8,6
organisational town,0.1,10,1
Canadian anything,0.4,10,4
cool butterfly,0.8888888888888888,9,8
realistic installation,0.5555555555555556,9,5
raw rail,0.2222222222222222,9,2
undergraduate walker,0.2222222222222222,9,2
comfortable academy,0.7,10,7
terrible tributary,0.625,8,5
near habit,0.3,10,3
agricultural fate,0.4,10,4
sweet estimate,0.5,8,4
molecular impression,0.5555555555555556,9,5
organic rail,0.14285714285714285,7,1
huge sodium,0.2222222222222222,9,2
integral tutor,0.6,10,6
lead pasture,0.375,8,3
confident trail,0.2222222222222222,9,2
radical discount,0.9,10,9
sweet wool,0.125,8,1
partial cookie,0.5,8,4
welcome essence,0.5714285714285714,7,4
selected co-ordinator,0.6666666666666666,9,6
Catholic truck,0.3333333333333333,9,3
prime spa,0.4444444444444444,9,4
remaining handbook,0.3,10,3
pleasant asbestos,0.1,10,1
ready egg,0.25,8,2
married dress,0.0,10,0
systematic embryo,0.3,10,3
personal plasma,0.5555555555555556,9,5
least reporter,0.125,8,1
willing cruise,0.3,10,3
narrow blog,0.375,8,3
total yesterday,0.0,9,0
blue scope,0.5,10,5
familiar cotton,0.5555555555555556,9,5
terrorist competency,0.6666666666666666,9,6
middle vicinity,0.5,10,5
exclusive ram,0.5714285714285714,7,4
increased laboratory,0.25,8,2
upper wheelchair,0.25,8,2
inclusive independence,0.4444444444444444,9,4
southern kick,0.4444444444444444,9,4
Democratic strand,0.2222222222222222,9,2
sole quarterback,0.625,8,5
mixed fundraising,0.5555555555555556,9,5
printed means,0.4444444444444444,9,4
due ministry,0.5,8,4
on-line township,0.5,10,5
written peasant,0.42857142857142855,7,3
consecutive seal,0.125,8,1
rich fame,0.4,10,4
near publishing,0.5555555555555556,9,5
multiple interior,0.5,10,5
twin recycling,0.2222222222222222,9,2
angry syntax,0.3333333333333333,9,3
able herb,0.5,10,5
western expense,0.5555555555555556,9,5
video particular,0.2222222222222222,9,2
superb telecommunication,1.0,10,10
Conservative robot,0.375,8,3
outer slavery,0.2222222222222222,9,2
married scroll,0.1,10,1
overall transmitter,0.7142857142857143,7,5
adjacent gameplay,0.5,8,4
holy police,0.16666666666666666,6,1
significant hull,0.6,10,6
flat gene,0.3,10,3
confident room,0.1,10,1
alternative flute,0.3,10,3
immediate apprentice,0.3,10,3
wealthy benefit,0.8,10,8
terrible set-up,0.8888888888888888,9,8
technical galaxy,0.5,8,4
chief conversation,0.8,10,8
able basis,0.3,10,3
digital grip,0.5555555555555556,9,5
archaeological genus,0.9,10,9
technological automobile,0.7777777777777778,9,7
wrong luggage,1.0,9,9
married reproduction,0.3333333333333333,9,3
patient rest,0.7777777777777778,9,7
angry practitioner,0.7777777777777778,9,7
weak poll,0.8,10,8
preferred tumour,0.125,8,1
grand high,0.5,8,4
powerful slavery,0.4444444444444444,9,4
diverse newcomer,0.7777777777777778,9,7
moral cult,0.7777777777777778,9,7
detailed yard,0.7,10,7
executive cage,0.5555555555555556,9,5
ready feast,0.5,10,5
official cuisine,0.6666666666666666,9,6
sustainable elevation,0.8,10,8
worldwide daylight,0.8,10,8
proper numeracy,0.6,10,6
Jewish mercy,0.5555555555555556,9,5
academic noon,0.2,10,2
experienced tie,0.1111111111111111,9,1
accurate module,1.0,9,9
ethical asbestos,0.0,9,0
occasional onset,0.625,8,5
terrorist registration,0.7,10,7
distinctive satisfaction,0.8,10,8
efficient logo,0.8,10,8
guilty mortgage,0.0,10,0
undergraduate ownership,0.6,10,6
tall allocation,0.2222222222222222,9,2
peaceful memoir,0.8888888888888888,9,8
correct certainty,0.3,10,3
patient conservation,0.9,10,9
compulsory success,0.375,8,3
relative entertainment,0.8888888888888888,9,8
available dynasty,0.5,10,5
interactive volunteer,0.6666666666666666,9,6
regional grief,0.6,10,6
amazing commissioner,0.5555555555555556,9,5
accessible bomber,0.6,10,6
organic gender,0.3,10,3
likely oath,0.7777777777777778,9,7
surprising Briton,0.2222222222222222,9,2
regulatory larva,0.1111111111111111,9,1
plastic query,0.2,10,2
accessible donor,0.6666666666666666,9,6
medieval flesh,0.0,9,0
fat prosecutor,0.7777777777777778,9,7
dynamic predecessor,0.8,10,8
beneficial woodland,0.8,10,8
identical exploration,0.5,8,4
smooth productivity,0.7,10,7
organic main,0.3,10,3
mature paragraph,0.7,10,7
apparent referee,0.3,10,3
integral while,0.0,9,0
operational respondent,0.6666666666666666,9,6
angry separation,0.8888888888888888,9,8
federal pupil,0.1,10,1
sexual envelope,0.1111111111111111,9,1
lead jungle,0.2222222222222222,9,2
unusual momentum,0.8888888888888888,9,8
sound booklet,0.6666666666666666,9,6
rich rejection,0.2,10,2
fellow uprising,0.5,10,5
wide E-mail,0.5555555555555556,9,5
comic stint,0.8,10,8
video disagreement,0.2222222222222222,9,2
fair axis,0.25,8,2
blind prayer,0.42857142857142855,7,3
interested leadership,0.8,10,8
solid Buddhist,0.3,10,3
influential prey,0.5,8,4
weekly apology,0.9090909090909091,11,10
undergraduate petrol,0.2,10,2
registered questionnaire,0.8888888888888888,9,8
ordinary highlight,0.5,10,5
parallel youth,0.2857142857142857,7,2
interactive decrease,0.6,10,6
estimated neighbor,0.3,10,3
professional dinosaur,0.3,10,3
slight pregnancy,0.3333333333333333,9,3
monthly comedy,0.6666666666666666,9,6
Iraqi bibliography,0.6666666666666666,9,6
statutory thinking,0.7777777777777778,9,7
holy freelance,0.3333333333333333,9,3
dependent favour,0.5555555555555556,9,5
Conservative beauty,0.8,10,8
compulsory frame,0.5,10,5
part-time landfill,0.3333333333333333,9,3
clean enthusiasm,0.6363636363636364,11,7
planned glove,0.25,8,2
continued altitude,0.7,10,7
male republic,0.4,10,4
magnificent youngster,1.0,10,10
identical blood,0.7,10,7
substantial trigger,1.0,7,7
interested bandwidth,0.0,7,0
emotional cluster,0.6666666666666666,9,6
weak duration,0.7,10,7
enjoyable commission,0.6,10,6
adjacent learner,0.4444444444444444,9,4
precise criminal,1.0,8,8
necessary sake,0.4,10,4
dependent coordinator,0.7,10,7
sorry poetry,0.2727272727272727,11,3
digital verb,0.1111111111111111,9,1
pleasant locomotive,0.5,10,5
universal boot,0.5714285714285714,7,4
varied lieutenant,0.125,8,1
multiple grass,0.3333333333333333,9,3
slow doubt,0.4,10,4
illegal resignation,0.6666666666666666,9,6
Danish transmission,0.6,10,6
favourite Mrs,0.5,10,5
elderly refreshment,0.4,10,4
informal excuse,0.8888888888888888,9,8
thick stress,0.125,8,1
peaceful monument,0.8571428571428571,7,6
classical clinic,0.5,8,4
North factor,0.375,8,3
extraordinary proprietor,0.75,8,6
mature booking,0.7,10,7
plastic freshwater,0.0,9,0
smooth insulation,0.8,10,8
outdoor chassis,0.7,10,7
distinctive sink,0.6666666666666666,9,6
square tumour,0.5,8,4
sick township,0.4444444444444444,9,4
extraordinary aspiration,0.7,10,7
direct currency,0.3333333333333333,9,3
clinical Scot,0.1111111111111111,9,1
popular parameter,0.8,10,8
mature server,0.8,10,8
abstract rebellion,0.4,10,4
coastal byte,0.2,10,2
institutional import,0.625,8,5
emotional DNA,0.25,8,2
male shrub,0.625,8,5
beneficial excavation,0.625,8,5
golden commodity,0.7,10,7
odd aluminium,0.4444444444444444,9,4
digital Christian,0.2,10,2
square will,0.2222222222222222,9,2
mutual syndrome,0.625,8,5
experienced weight,0.2,10,2
visual intersection,0.3333333333333333,9,3
outer spice,0.2222222222222222,9,2
direct line-up,0.7777777777777778,9,7
applicable photographer,0.4,10,4
executive preview,1.0,9,9
successful sleeve,0.0,10,0
occasional likelihood,0.5555555555555556,9,5
legal species,0.5555555555555556,9,5
international bush,0.2,10,2
Polish gift,0.75,8,6
urban desk,0.5,10,5
classic mosque,0.6666666666666666,9,6
naval solidarity,0.6666666666666666,9,6
successful galaxy,0.25,8,2
statistical scratch,0.3,10,3
psychological gang,0.2222222222222222,9,2
beneficial premiere,0.9,10,9
disabled rest,0.1111111111111111,9,1
Swedish chromosome,0.4,10,4
active hip,0.5,10,5
golden controller,0.4,10,4
apparent batsman,0.4,10,4
helpful vowel,0.375,8,3
favourite dependence,0.6666666666666666,9,6
back supporter,0.9,10,9
terrible conquest,0.9,10,9
distant dad,0.8888888888888888,9,8
intellectual casualty,0.25,8,2
prominent delay,0.625,8,5
comic chocolate,0.4444444444444444,9,4
undergraduate bonus,0.8,10,8
legendary planting,0.5555555555555556,9,5
dominant escort,0.625,8,5
compatible stall,0.5555555555555556,9,5
electrical tennis,0.14285714285714285,7,1
quick slope,0.6666666666666666,9,6
equivalent cafe,0.4,10,4
square dream,0.125,8,1
tiny subsection,0.8,10,8
systematic short,0.25,8,2
severe buying,0.6666666666666666,9,6
silent warranty,0.625,8,5
sexual passenger,0.2,10,2
median lid,0.375,8,3
mathematical bowel,0.1111111111111111,9,1
animal redevelopment,0.4,10,4
illegal institute,0.7777777777777778,9,7
foreign spine,0.1111111111111111,9,1
brown footballer,0.75,8,6
black cent,0.125,8,1
eligible duo,0.9,10,9
industrial hold,0.7777777777777778,9,7
mixed refund,0.5,10,5
favourite prosecutor,1.0,10,10
underground triumph,0.5555555555555556,9,5
rough retailer,0.7,10,7
future freezing,0.6666666666666666,9,6
busy notion,0.5,10,5
vulnerable accuracy,0.4444444444444444,9,4
central mention,0.4,10,4
sick premiere,0.1111111111111111,9,1
beneficial disclosure,0.9,10,9
raw cousin,0.1,10,1
Spanish onset,0.125,8,1
written flood,0.1111111111111111,9,1
strategic catalog,0.3,10,3
secondary missionary,0.7777777777777778,9,7
underground touch,0.125,8,1
Indian ram,0.7,10,7
forthcoming diabetes,0.1111111111111111,9,1
corporate electron,0.4,10,4
armed ear,0.1,10,1
valuable spray,0.9,10,9
defensive wash,0.4,10,4
friendly conspiracy,0.3333333333333333,9,3
golden placement,0.5,10,5
plain traveller,0.875,8,7
narrow cocktail,0.25,8,2
top capitalism,0.2222222222222222,9,2
strict translator,0.8888888888888888,9,8
concrete trio,0.5,8,4
geographical opponent,0.7777777777777778,9,7
written gaming,0.3333333333333333,9,3
full-time grassland,0.2,10,2
dramatic distress,0.8,10,8
cheap slope,0.5,8,4
external snack,0.1,10,1
intellectual delegate,0.7777777777777778,9,7
competitive limitation,0.5,10,5
subsequent talent,1.0,9,9
skilled sake,0.125,8,1
executive violin,0.1,10,1
senior leaflet,0.3,10,3
consistent bronze,0.3333333333333333,9,3
true taxation,1.0,9,9
relevant integrity,0.7,10,7
optional founder,0.2,10,2
acceptable leaf,0.8181818181818182,11,9
mature spelling,0.5555555555555556,9,5
literary roof,0.1111111111111111,9,1
helpful downtown,0.0,9,0
coastal discussion,0.625,8,5
relevant lightning,0.6,10,6
broad allergy,0.3,10,3
recent exhaust,0.7,10,7
likely apprentice,1.0,10,10
convenient brain,0.3333333333333333,9,3
compulsory guilt,0.7777777777777778,9,7
thin exception,0.4,10,4
valuable crater,0.6,10,6
leading tent,0.5555555555555556,9,5
conservative invoice,0.4,10,4
legislative mathematician,0.6,10,6
left printer,0.25,8,2
median customer,0.4444444444444444,9,4
overseas barrier,0.6,10,6
dynamic cereal,0.3,10,3
bad spouse,1.0,7,7
fast paperback,0.125,8,1
rapid tent,0.1,10,1
close lease,0.3333333333333333,9,3
exceptional reliance,0.6666666666666666,9,6
collective setup,0.8,10,8
statistical attachment,0.5,10,5
European diabetes,0.5555555555555556,9,5
assistant title,0.625,8,5
English consent,0.6,10,6
careful editorial,0.8888888888888888,9,8
organisational refund,0.5,10,5
major meadow,0.7,10,7
unique dead,0.1111111111111111,9,1
extensive cannabis,0.3,10,3
prior runner-up,0.5555555555555556,9,5
honest persecution,0.3,10,3
prominent enthusiasm,0.4,10,4
proper rose,0.2222222222222222,9,2
comprehensive entrepreneur,0.4444444444444444,9,4
naval tip,0.6,10,6
stunning violation,1.0,9,9
hot democracy,0.2222222222222222,9,2
annual thought,0.5,10,5
widespread candle,0.2,10,2
weak cab,0.375,8,3
Norwegian addiction,0.625,8,5
legal disk,0.5555555555555556,9,5
stunning firearm,0.9,10,9
printed beat,0.3,10,3
interested currency,0.1111111111111111,9,1
tight defendant,0.125,8,1
affordable remainder,0.6,10,6
weekly relay,1.0,10,10
Jewish rear,0.125,8,1
dedicated legacy,0.8,10,8
live shock,0.8,10,8
Christian arcade,0.4444444444444444,9,4
opposite pub,0.4,10,4
middle cooking,0.4444444444444444,9,4
honest sodium,0.0,9,0
superior audit,0.6,10,6
inclusive gambling,0.3,10,3
compulsory department,0.2857142857142857,7,2
marine nightmare,0.3333333333333333,9,3
proud jaw,0.3,10,3
dead exploitation,0.1,10,1
regulatory noun,0.5,10,5
cold mission,0.9,10,9
dominant ore,0.42857142857142855,7,3
Turkish fox,0.625,8,5
inclusive slip,0.4444444444444444,9,4
rich remainder,0.2,10,2
sole repeat,0.4,10,4
junior redevelopment,0.6666666666666666,9,6
overseas crown,0.625,8,5
crucial shoe,0.375,8,3
next acre,0.5,10,5
exclusive luggage,0.7777777777777778,9,7
rich sin,0.5,10,5
back fortune,0.3,10,3
joint chip,0.3333333333333333,9,3
Islamic curtain,0.2857142857142857,7,2
raw gaming,0.25,8,2
armed math,0.2222222222222222,9,2
distant coffee,0.2222222222222222,9,2
formal headline,0.8,10,8
good denomination,0.9,10,9
thick joy,0.0,9,0
experimental washing,0.625,8,5
familiar numeracy,0.3,10,3
experimental backdrop,0.7,10,7
forthcoming terminal,0.6,10,6
legislative balloon,0.3,10,3
conventional dynasty,0.8,10,8
considerable blue,0.125,8,1
romantic bulletin,0.6666666666666666,9,6
basic borough,0.5,10,5
solar pdf,0.0,10,0
golden conservation,0.5555555555555556,9,5
Chinese alteration,0.9,10,9
soft transmitter,0.2222222222222222,9,2
critical prosperity,0.6666666666666666,9,6
detailed hut,0.5,10,5
estimated terror,0.5,10,5
historic freezing,0.4444444444444444,9,4
live axis,0.3333333333333333,9,3
official healthcare,0.8888888888888888,9,8
Korean racism,0.7142857142857143,7,5
amazing airline,1.0,11,11
fixed merger,0.6,10,6
vocal pirate,0.8,10,8
electrical blogs,0.4444444444444444,9,4
cool negotiation,1.0,10,10
red junction,0.5,10,5
southern favor,0.625,8,5
innovative bill,1.0,10,10
responsible pitcher,0.7777777777777778,9,7
advanced editorial,0.5,6,3
odd export,0.75,8,6
genetic Buddhist,0.3,10,3
mental offence,0.375,8,3
secure dive,0.7,10,7
sweet feedback,0.8,10,8
prior hydrogen,0.1111111111111111,9,1
